Group,Common Name,Species Code,Call,Reference,Granularity,BinSize_m,Notes,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Var17
,Unidentified Whale,UW,Other/Tonal,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,Harmonics_Hz,BestGuess(SpeciesCode),,,
,Unidentified Whale,UW,Other/Pulsed,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,InterpulseInterval_s,PulseCount,Harmonics_Hz,BestGuessSpecies,
,Unidentified Whale,UW,Other/FM,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,Min_Hz,Max_Hz,InflectionPoints,Harmonics_Hz,BestGuessSpecies
,Unidentified Whale,UW,Gunshot,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,Min_Hz,Max_Hz,Peak_Hz,BestGuessSpecies,
,Unidentified Whale,UW,Fin-Sei Downsweep,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,BestGuessSpecies,,,,
,Unidentified Whale,UW,Watkins whale,Watkins et al. 2004,,,,Start_Hz,End_Hz,Duration_s,RL_dB,BestGuessSpecies,,,,
,,,,,,,,,,,,,,,,
Odontocetes (except Beaked Whales),Short-beaked Common Dolphin,Dd,Clicks,,,,,,,,,,,,,
,Short-beaked Common Dolphin,Dd,Buzzes,,,,,,,,,,,,,
,Short-beaked Common Dolphin,Dd,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Long-beaked Common Dolphin,Dc,Clicks,,,,,,,,,,,,,
,Long-beaked Common Dolphin,Dc,Buzzes,,,,,,,,,,,,,
,Long-beaked Common Dolphin,Dc,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Risso's Dolphin,Gg,Clicks,,,,,peak 1 (low),peak 2,peak 3,peak 4 (high),,,,,
,Risso's Dolphin,Gg,Buzzes,,,,,,,,,,,,,
,Risso's Dolphin,Gg,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Short-finned Pilot Whale,Gm,Clicks,,,,,,,,,,,,,
,Short-finned Pilot Whale,Gm,Buzzes,,,,,,,,,,,,,
,Short-finned Pilot Whale,Gm,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Northern Right Whale Dolphin,Lb,Clicks,,,,,,,,,,,,,
,Northern Right Whale Dolphin,Lb,Buzzes,,,,,,,,,,,,,
,Northern Right Whale Dolphin,Lb,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Pacific White-sided Dolphin,Lo,Clicks/A,,,,,peak 1 (low),peak 2,peak 3 (high),,,,,,
,Pacific White-sided Dolphin,Lo,Clicks/B,,,,,peak 1 (low),peak 2,peak 3 (high),,,,,,
,Pacific White-sided Dolphin,Lo,Buzzes,,,,,,,,,,,,,
,Pacific White-sided Dolphin,Lo,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Killer Whale,Oo,Clicks,,,,,,,,,,,,,
,Killer Whale,Oo,Buzzes,,,,,,,,,,,,,
,Killer Whale,Oo,Pulsed Calls,,,,,,,,,,,,,
,Killer Whale,Oo,Whistles,,,,,,,,,,,,,
,Killer Whale,Oo,HFM,,,,"I'm assuming that we want to note specifically the two components and that is why we are not using Min/Max, correct? - mar",High_Hz,Low_Hz,,,,,,,
,,,,,,,,,,,,,,,,
,False Killer Whale,Pc,Clicks,,,,,,,,,,,,,
,False Killer Whale,Pc,Buzzes,,,,,,,,,,,,,
,False Killer Whale,Pc,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Pygmy Killer Whale,Fa,Clicks,,,,,,,,,,,,,
,Pygmy Killer Whale,Fa,Buzzes,,,,,,,,,,,,,
,Pygmy Killer Whale,Fa,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Unidentified Porpoise,UPP,Clicks,,,,,,,,,,,,,
,Unidentified Porpoise,UPP,Buzzes,,,,,,,,,,,,,
,Unidentified Porpoise,UPP,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Dall's Porpoise,Pd,Clicks,,,,,,,,,,,,,
,Dall's Porpoise,Pd,Buzzes,,,,,,,,,,,,,
,Dall's Porpoise,Pd,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Sperm Whale,Pm,Clicks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,Sperm Whale,Pm,Creaks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
